text,gold_label
"бывают /64 одну выдают клиенту, даже если ему выдали /56, есть шанс допустим что клиент большая компания с подсетями в разных геолокация отсюдова и рекомендация гео по /64",0
"я понимаю это. /64 идентфицирует клиента провайдера как персону. если мы скрываем правые 64 бита, мы скрываем конкретный компьютер, на котором запущен blockcheck, но не конкретного клиента провайдера, который запускает ее. это то же самое, если бы ipv4 адрес вообще не маскировался. поэтому нужно маскировать хотя бы /60. мне кажется разумным маскировать /56.",0
"тогда гелокацию будет неточной. мтс выдает /64 и большинство операторов выдают одну /64 или просто две /64, очень редко сеть больше /60. /56 может не скрыть клиента, когда допустим клиент получил /48 (да так можно без запроса)",0
"не может же быть такого, что из одной /56 одна /64 выдана клиенту в москве, а другая /64 — в новосибирске? геолокация нужна с точностью до города/области.",0
"я бы так конечно никогда не сделал, но опыт показывает что люди делают странные вещи. и как я выше указал, пример большой клиент (/48) и сеть его раскинута допустим по городам кусками по /64 или /60). поэтому закономерно что выбрано было именно /64 у гугла я бы оставил /64 он дает нужную грануляцию, и скрывает пользователя в достаточно мере (сеть может меняться со временем тоже), скрыли пользовательские машины и отлично. /56 не скрывает пользователя, допустим там где раздают /56 на клиента.",-1
"принято, спасибо.",0
можно просто 'xxxx::',0
"/48 будет достаточно для определения региона? iana рекомендует давать каждому клиенту /56, но соответствует ли это российским реалиям?",0
"/48 минимальный блок для анонса bgp и при получении pi адресов. геокодинг у гугла допустим соответствует анонсам в bgp, для ipv4 это /24",0
"сделайте тогда по маске /60 для ipv6, чтобы была точность до провайдера, а не до клиента.",0
с точностью до провайдера это тогда лучше наверно /48 меньше анонснов в bgp не бывает глобальном,0
"добавьте еще xxx в конец адреса, как сейчас сделано, чтобы было понятно, что адрес маскируется.",0
"маска предполагает что адрес не полный. иначе тогда опять конвертируем в str и делаем тоже самое что было до патча. мне лично xxxx часть не нравиться как выглядит, будто глюк определения чтоли. возможно имеет смысл добавить надпись ваш адрес был суммаризован до маски [/24,/48] и здесь не показан",0
"возможно имеет смысл добавить надпись ваш адрес был суммаризован до маски [/24,/48] и здесь не показан лучше не стоит. я стараюсь писать софт для обычных людей, которые не знают, что такое маска подсети, поэтому считаю неуместным вывод настолько подробной поясняющей информации, напрямую не относящейся к тестам. и, честно сказать, мой вариант с xxx мне нравится больше. но не отрицаю, что код маскировки ipv6 требует доработки.",0
"я согласен, тогда убрать страшные слова, маска и суммаризован. оставить лишь, ваш полный адрес был скрыт и показывать вывод с маской. потому что xxx простому пользователю ничего не скажет (насчет сокрытия), лучше явно написать простыми словами. моя цель была сделать кусок кода чуть лучше читаемым/меньше и убрать проблемную часть маскировки ipv6 конечно. и модуль в будущем нужен еще будет для другой части",0
"обсуждая 55 я подумал если мы будем определять asn, зачем нам тогда ip адрес показывать. имеет смысл показать названия оператора и его asn, все равно тип блокировок всегда в пределах asn свой",0
"зачем нам тогда ip адрес показывать. чтобы точнее узнать регион, т.к. такая информация во whois не всегда есть. обращаться к 2ip.ru в любом случае нужно, у них актуальные базы провайдеров. когда во whois ерунда, у 2ip.ru правильное название провайдера.",0
"я имел ввиду конечному пользователю можно и не показывать его и не отправлять его. запрос мы и так будем делать конечно, но показывать сохранять только asn + название\регион оператора то что отдает 2ip. если хотите оставить можно попробовать указывать его настоящую маску а не статичные /24 и /48 всегда (cidr брать из rdap). плюс добавим текст ваш полный адрес был скрыт . как такой вариант патча?",0
"я не понимаю, зачем это нужно. обычному пользователю показывать asn ни к чему, мне он тоже не нужен: asn из ip получить можно, а обратно — нельзя. у одной as может быть много разных диапазонов ip адресов. замена ip на asn не позволит мне определить регион в результатах тестирования (2ip чаще показывает только название провайдера, без региона). показывать маску тоже смысла не вижу.",-1
"make sense, я совсем забыл про мегачемпионов, где asn натянут на всю страну.",0
"ну не знаю. в 10 был человек с koi8 r, для него тоже таблицу надо добавить?",0
добавил.,0
"разделил коммиты, переделал без таблицы замен и re. должно работать для любой кодировки. спасибо!",0
"смержено, спасибо!",0
"сразу оговорюсь, что тестировалось в трёх ситуациях: 1. на провайдере, который ничего не блокирует 2. на провайдере, который блокирует по ip 3. без подключения к интернету во время проверки оба сайта с как раз лежали. скрипт не падает, результаты ожидаемые. но в других ситуациях на практике не тестировалось. хотя вроде всё правильно.",0
"нужна ли проверка версии python? код не работает на python ниже 3.3? если работает, пожалуйста, уберите проверку. и сделайте, пожалуйста, rebase в один коммит.",-1
"rebase потом сделаю. конкретно добавленные строчки скорее всего будут работать на 3.3, но ведь get url с сертификатом не будет?",0
понятно. тогда уберу.,0
"не закрывайте pull request, он не копирует ваш репозиторий. все изменения, которые вы делаете в своем branch своего форка после открытия pull request сразу же отражаются в pull request.",0
"да, именно так и сделайте.",0
"запилил, перебазировал на текущую head — вроде работает.",0
"у меня тоже таб 8 пробелов, и если раньше мне нравилось такое форматирование, то сейчас уже не очень. давайте в этом pull request оставим форматирование как есть, а потом подумаем, как его лучше поправить.",0
"isup.me почему то перестал работать с пример: работает чушь собачья мне кажется, раньше оно работало. тем более, что про неизвестные ему протоколы (например, ftp) он так и говорит: «doesn't look like a site on the interwho». что делать?",-1
"здесь ошибка. нельзя переносить существующую логику проверки, когда открываются все сайты и напрямую, и через прокси, вот так «в лоб». если открылось, скажем, 4 сайта напрямую, а пятый не открылся ни напрямую, ни через прокси, но isup говорит, что он работает, то результат проверки будет достаточно неожиданным — что не соответствует действительности.",-1
зачем здесь объявлять функцию еще раз?,-1
исправлено в 9569200,0
"вы правы. видимо, при одном из слияний чего то с чем то такая накладка произошла, а я и не заметил.",0
"мне, честно говоря, идея ловить и игнорировать исключения в decode bytes кажется опасной. во первых, я не знаю, какие исключения вообще могут возникнуть при errors='replace' . во вторых, если они всё таки возникнут, вернётся bytes вместо str, а остальная программа к этому не приспособлена, и может получиться белиберда в произвольном месте. я бы не ловил исключения в decode bytes, пусть лучше падает.",0
"как так? по моему, будет edit: а, нет, стоп, вы правы. я вижу, вы уже исправили.",0
"вы правы, убрал в 8a32a93.",0
заметил одну неточность,0
спасибо!,0
"хм, у вас первый dns сервер не работает? или у вас ipv6?",0
"а, хм, посмотрю, можно ли его заменить на что то более стабильное.",0
"да, спасибо. но все равно, мне кажется не стоит прерывать обработку если один из доменов возвращает nxdomain. хотя возможно, nxdomain нужно ловить отдельно и явно предупреждать об этом. вобщем скажете если/как я могу исправить код.",0
"как то так, наверное.",0
"готово, проверьте.",0
ну тогда отбой) я не знал.,0
установите python 3.3 и новее.,0
кринж + прямая провокация + слив фингерпринта юзеров скам'а возможность отличить их от обычных юзеров + телеграм не забанили в рф куда free то,-1
"оценку самому модулю дать не могу. не моя стизя) как идея неплохая, со стороны того что xposed может дать зеленый свет разнообразным поломкам, дабы блокировка не выглядела так одинаково. разнообразность необходима в этом в случае, случае если приложение станет популярно и люди ""настаивающие"" на установке max догадаются что макс не работает, не просто так в любом случае конкретно этот модуль скорее некий пример, чем готовая реализации хорошей идеи.",0
телеграм не забанили в рф куда free то вот и думайте.,0
"ai generated. alert необоснованное обвинение, хотя соглашусь немного похоже на ии. я к слову не использовал его здесь нигде",-1
"эх, может уже как нибудь одобрите pr или хотя бы отклоните. никакой активности",-1
"спасибо за pr! я плохо знаю, как работает magisk, и могу ошибаться, но: хочу отметить, что добавлять ссылку на скачивание стороннего архива, без исходников, с моей стороны, было бы глупо в плане безопасности и этики. я очень ценю ваше желанию улучшить проект, но скам приложение с открытым исходным кодом, где я полностью отвечаю за его безопасность. pr пока закрою, можете открыть новый pr с непосредственно исходниками.",0
она модит основную ветку. надо делать другую,-1
"рефакторинг кода, выделение сервисов в интерфейсы, добавление в контейнеры",0
"спасибо, все по делу + дефолтовое поведение не меняется. из рекомендаций после добавления поля в конфигурацию плагина обновить версию плагина так плагин узнает, что надо обновить поля (добавить новое поле) в json файле, который является уже реальной конфигурацией. для этого случая, думаю, сделаю сам.",0
"1. пожалуйста, переименуйте в requirements fixed.txt. можно указать в ридми, что этот файл рекомендуется использовать при установке с точными именами версий. 2. все протестировали? я нашел одну ошибку openai==0.28.0 было, а вы апгрейдитесь до версии 1.x, там плагин болталки не будет работать. верните обратно. gradio работать будет? проверьте в редакторе настроек для веб.",0
добавил файл requirements fixed.txt с зафиксированными версиями. версию openai откатил до 0.28.0. gradio проверен — интерфейс настроек работает корректно.,0
"спасибо, заливаю в общую ветку.",0
вынесено в плагин с версии 7.5.1,0
"увидел. спасибо за новую функциональность, но просьба выложить отдельным плагином на github не очень хочется тащить доп библиотеку в core ирины. да, вроде можно обойтись без правки конструктора vacore просто ide не будет подсвечивать свойство как доступное. так что достаточно только плагина.",0
"теперь можно сказать: ирина скажи время, и какая сегодя дата",0
"не принимается. причины: 1. нельзя игнорировать непонятные слова, они обрабатываются плагином, например, таймером вручную (в функции) 2. много заточено под то, что ирина выполняет одну команду за раз (например, контекст, возврат текстов в webapi и пр.). 3. таймер короткое слово, не нужно убирать.",-1
"на нет и суда нет. плагины: таймер, игра больше меньше и т.д. отрабатывают правильно ( если комманда подрозумевает контекст, то остаток фразы так же обрабатывается с учетом этого контекста). т.е. после фраза "" ирина привет, скажи время и поставь таймер на три минуты"" поздоровается, скажет время и поставит таймер. webapi не использовал, действительно возможны проблеммы. удачи в развитии проекта",-1
"не принимается. причины: 1. нельзя игнорировать непонятные слова, они обрабатываются плагином, например, таймером вручную (в функции) 2. много заточено под то, что ирина выполняет одну команду за раз (например, контекст, возврат текстов в webapi и пр.). 3. поиск одной ирины (имени ассистента) в потоке входа уже есть. далее не нужно.",-1
"принято, вроде отличные добавления )",0
"полностью принять не могу, поэтому: 1. инфа про win принята, вынесена в отдельный файл. 2. установка tts неполна + содержит инфу о кряках недопущено. 3. timer доп команды приняты 4. timer правки текстов, а также убирание дефолтового таймера отклонено. ставить дефолтовый таймер удобно. короткие тексты также на практике удобнее. если хотите, сделайте отдельный плагин таймера с переспросом по дефолту. или с несколькими таймерами.",-1
"спасибо за принятые изменения. по отмене и нумериции таймеров пока не понял как сделать, т.к. питон вижу первый раз, но возможно как допилю под себя предложу в виде отдельного плагина.",0
